County,Total_Acres,Farmed_Acres,Cropped_Acres,Acres_Owned,Acres_Rented,Total_Farms
ALBANY,72052,61759,14927,53546,9021,261
ALLEGANY,118904,79002,48026,63297,15583,295
BROOME,150138,100723,59084,62560,22333,333
CATTARAUGUS,235701,141769,64829,104012,26454,505
CAYUGA,360872,231275,183087,198557,32718,748
CHAUTAUQUA,383502,219780,77698,163776,32724,1187
CHEMUNG,40845,35028,13672,31331,3697,334
CHENANGO,308496,146016,33999,133084,12932,1058
CLINTON,140887,113561,58645,96179,17481,351
COLUMBIA,181219,117810,52186,90260,27640,547
CORTLAND,121698,107301,22683,78573,28728,516
DELAWARE,244623,215143,26141,126801,83967,353
DUTCHESS,164380,125220,36126,63871,12732,1537
ERIE,256003,164783,120449,112161,54690,442
ESSEX,61383,45633,30139,34655,10978,162
FRANKLIN,94788,66983,34913,58991,7954,422
FULTON,26020,20556,6716,17177,3379,267
GENESEE,203654,163582,99857,92082,52259,349
GREENE,38333,35745,12556,31631,4114,286
HERKIMER,54022,49959,25468,38923,2052,143
JEFFERSON,236002,170860,83970,109158,22910,256
LEWIS,246368,151892,31801,151891,7595,213
LIVINGSTON,209126,174064,148940,114738,59326,854
MADISON,158636,122776,53434,79002,34417,627
MONROE,138670,104840,82758,55989,48973,466
MONTGOMERY,176071,115639,35561,86258,16862,424
NIAGARA,185950,137166,87796,87952,34651,378
ONEIDA,154594,147800,80816,88087,39859,859
ONONDAGA,193209,129626,54701,75741,38514,413
ONTARIO,250675,178786,138948,91734,70401,437
ORANGE,162412,148178,69656,54421,87919,642
ORLEANS,98217,81361,70128,53773,27548,244
OSWEGO,95913,84223,46298,69429,14794,552
OTSEGO,192730,115449,39162,45229,11959,821
PUTNAM,3942,3942,,3942,,72
RENSSELAER,154050,93952,48104,56348,37516,248
SARATOGA,111632,67323,10713,47712,19611,312
SCHENECTADY,18764,12711,6135,13455,2564,105
SCHOHARIE,132443,81234,52193,44592,19754,210
SCHUYLER,97079,52494,33586,36082,10314,248
SENECA,151833,129725,,35483,17742,708
ST. LAWRENCE,583587,390016,184857,315044,35180,1174
STEUBEN,327044,296861,183778,193046,52256,1014
SUFFOLK,19982,19852,13184,14984,4574,264
SULLIVAN,160522,98532,5304,34447,12304,297
TIOGA,95329,77607,43362,74959,2644,646
TOMPKINS,166993,123585,92199,65498,46778,170
ULSTER,67707,47951,14981,22003,5089,326
WASHINGTON,285981,173896,72407,100428,40792,370
WAYNE,291174,258270,27000,225291,32979,897
WESTCHESTER,6453,6453,,6453,,210
WYOMING,246175,174668,102328,129900,36865,330
YATES,143326,110100,81400,90300,19800,823
